segment,n,p,r_mean,e_mean,eta,eta_lo,eta_hi,eta_r_amount_years_effort_hours,eta_r_amount_staff_events,eta_r_amount_years_staff_events,eta_I,small
"(25000.0, 450000.0] | 한도 증액",762,0.748,39050.3509,0.6857,42602.5906,40199.3015,45077.274,396712.4568,797.8601,7429.6192,9857.5807,False
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | Home improvement",334,0.6228,39620.1923,0.7798,31640.8244,25968.9451,38000.5506,295976.7285,660.3895,6177.4595,6832.6663,False
금액 미기재 | 한도 증액 | 기타,325,0.7631,23671.1694,0.5715,31605.0562,28522.088,35003.3117,281412.8823,506.8598,4513.1029,7182.4226,False
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | Existing loan takeover",382,0.6152,38988.0851,0.7649,31356.694,28720.3105,33998.2512,272970.2992,625.2354,5442.8794,6297.3652,False
금액 미기재 | 한도 증액 | 용도 불명,410,0.739,23954.4554,0.5647,31347.6344,28476.7068,34492.4579,289110.2543,542.7097,5005.2565,7380.7349,False
"(15500.0, 25000.0] | 한도 증액",746,0.7359,21342.4044,0.5223,30070.8252,27648.3623,32603.9608,266712.8895,462.3542,4100.846,6753.3461,False
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | 기타",507,0.6075,37677.6136,0.7898,28980.0409,26930.992,31188.8135,260802.6711,578.5863,5206.9232,6087.0244,False
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Existing loan takeover",1003,0.5533,40000.6306,0.7709,28711.2535,27194.7542,30349.4513,251401.6772,576.6624,5049.3755,5858.3562,False
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | 용도 불명",543,0.442,39184.375,0.66,26239.5744,23906.642,28849.2408,230158.3927,536.7416,4707.9876,5373.4909,False
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Home improvement",755,0.4728,37462.605,0.6834,25920.5894,23852.3354,28034.8928,230844.2214,527.8297,4700.7591,5406.9162,False
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | 기타",291,0.5395,36305.7325,0.8202,23881.2022,21577.1878,26723.485,246272.1396,505.0505,5208.275,5786.3591,True
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Car",336,0.497,32334.4311,0.7343,21885.4004,18658.5542,25599.7499,166787.7646,485.1181,3697.066,3871.2191,False
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Home improvement",937,0.555,21760.0962,0.5598,21572.3108,20121.274,22977.5745,180390.476,373.6379,3124.4088,4318.1556,False
"(10000.0, 15500.0] | 한도 증액",494,0.7308,14081.9945,0.4894,21025.008,19535.54,22716.378,172251.8189,305.3397,2501.5597,4705.1582,False
"(15500.0, 25000.0] | 신규·A_Submitted 없음 | 기타",848,0.6486,21221.6364,0.6887,19985.8848,18646.3441,21318.4845,161105.721,364.6215,2939.2051,3846.012,False
금액 미기재 | 신규·A_Submitted 없음 | 기타,545,0.6569,20598.1844,0.6929,19527.3126,17935.2398,21312.9967,162511.1467,340.6389,2834.8812,3942.7345,False
"(15500.0, 25000.0] | 신규·A_Submitted 없음 | Existing loan takeover",308,0.6396,21086.802,0.7028,19189.8485,17467.3529,21027.338,153096.5659,353.6909,2821.7454,3654.3636,False
금액 미기재 | 신규·A_Submitted 없음 | 용도 불명,1664,0.6052,20938.4111,0.6955,18218.4581,17167.6749,19322.0078,151101.7358,357.6332,2966.1674,3687.4351,False
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Car",1002,0.5259,19903.0361,0.5838,17931.1682,15989.5958,19863.5766,119119.2928,333.6376,2216.4021,2857.9115,False
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | 용도 불명",477,0.4969,21776.3713,0.6442,16796.1605,15216.1646,18415.4471,128293.626,329.0195,2513.1402,3065.8316,False
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Existing loan takeover",922,0.5412,21099.3988,0.7108,16065.241,14451.2416,17638.9421,124008.2488,317.289,2449.1665,2973.216,False
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Home improvement",938,0.6119,14702.5261,0.5696,15796.5711,14726.6002,16874.3623,115082.6558,268.9544,1959.4115,2884.7947,False
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | 기타",314,0.5446,20714.3275,0.7545,14952.0523,13549.7631,16465.5645,128229.9118,307.9327,2640.8538,3078.9454,False
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Car",1458,0.5137,14179.773,0.5293,13761.326,12861.2775,14692.008,82562.4603,241.4333,1448.5033,2112.7865,False
"(10000.0, 15500.0] | 신규·A_Submitted 없음",960,0.6396,14485.114,0.6956,13318.0177,12436.701,14232.0774,94037.0245,254.3501,1795.9375,2388.8521,False
"(6500.0, 10000.0] | 한도 증액",369,0.6938,9170.3125,0.4807,13234.7011,12059.8534,14492.0529,101326.0664,195.1941,1494.424,3167.5019,False
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Existing loan takeover",635,0.5764,14572.541,0.6495,12932.6339,12056.9481,13805.4993,93226.5397,244.1319,1759.856,2382.7409,False
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | 기타",275,0.5709,14542.0382,0.6921,11996.397,10469.1219,13738.1952,86403.4654,237.9716,1713.9792,2229.4208,True
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | 용도 불명",414,0.5048,13964.1148,0.6282,11221.8642,9903.8678,12648.8654,78416.0688,212.1311,1482.3285,2015.3213,False
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Home improvement",1015,0.5704,9820.38,0.5588,10024.1806,9302.1062,10810.3265,67026.4461,174.4279,1166.3079,1971.6311,False
"(6500.0, 10000.0] | 신규·A_Submitted 없음 | Car",314,0.5191,9837.4233,0.5594,9128.7022,8243.2089,10162.9223,52865.348,155.7098,901.7333,1557.549,False
"(6500.0, 10000.0] | 신규·A_Submitted 없음 | 기타",579,0.5976,9514.0173,0.671,8472.9799,7836.4059,9106.1352,58472.2419,157.3091,1085.5939,1771.7387,False
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Car",1667,0.4721,9423.4435,0.526,8458.4372,7866.0263,9074.3938,44711.1405,147.5783,780.0959,1324.5788,False
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | 기타",264,0.5189,9798.5401,0.6257,8126.2154,7192.2752,9207.004,48708.1078,149.8047,897.9215,1428.3847,True
"(599.999, 6500.0] | 기타",56,0.5714,6456.25,0.4783,7713.1186,5939.0845,10174.1148,51901.7716,115.8721,779.7065,1671.3873,True
금액 미기재 | 기타,2,0.5,17900.0,1.2425,7203.3538,7203.3538,10585.0021,26412.2972,161.2613,591.2913,693.2443,True
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Existing loan takeover",530,0.4528,9529.6875,0.6272,6880.5051,6165.0405,7684.1634,42584.242,128.483,795.1958,1271.599,False
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | 용도 불명",478,0.4268,9585.0904,0.6303,6490.489,5356.3888,7751.7006,40430.9055,130.227,811.2171,1201.7621,False
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Home improvement",1034,0.4932,6353.0392,0.5371,5833.8627,5346.766,6362.5413,34775.617,101.0936,602.6183,1077.3662,False
"(599.999, 6500.0] | 신규·A_Submitted 없음",686,0.5204,6135.5322,0.5793,5512.1476,4975.0411,6080.7429,30859.2898,97.2899,544.6693,968.7386,False
"(599.999, 6500.0] | 신규·A_Submitted 있음 | 기타",368,0.4103,6523.5563,0.5166,5181.3897,4269.1758,6185.4867,31314.4019,91.463,552.7688,974.6311,False
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Car",1908,0.3973,6096.2216,0.5022,4822.7997,4493.4193,5139.5354,22767.8358,82.7739,390.7653,724.3395,False
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Existing loan takeover",494,0.4211,6325.0,0.5621,4737.804,4143.6744,5385.2293,27623.6551,83.5673,487.2372,872.1679,False
"(599.999, 6500.0] | 신규·A_Submitted 있음 | 용도 불명",782,0.3529,6766.8478,0.546,4374.4179,3782.9652,4991.3568,25575.407,80.2152,468.9849,778.3631,False
