group,n,p,r_mean,e_mean,eta,eta_lo,eta_hi,eta_r_amount_years_effort_hours,eta_r_amount_staff_events,axis
"(10000.0, 15500.0]",5174,0.5856,14380.3663,0.595,14154.2071,13817.3881,14539.3801,99055.6972,253.0593,amount_band
"(15500.0, 25000.0]",5554,0.5852,21101.1938,0.63,19598.7501,18947.8382,20285.4976,156186.7939,358.6912,amount_band
"(25000.0, 450000.0]",4913,0.5693,38378.6932,0.7345,29747.3257,28924.8499,30560.7087,267273.7781,600.1566,amount_band
"(599.999, 6500.0]",5328,0.4302,6294.1876,0.5316,5093.2435,4868.455,5321.2867,28005.9268,89.0681,amount_band
"(6500.0, 10000.0]",5216,0.5199,9561.2402,0.5722,8688.4554,8380.4309,8986.98,54141.0222,154.457,amount_band
0 (미기재),2946,0.6507,21703.5368,0.6635,21284.4844,20495.0703,22168.1589,181876.9388,393.7247,amount_band
신규·A_Submitted,18842,0.4955,16864.1684,0.5978,13977.0128,13680.9443,14348.6135,105563.347,258.5939,channel
신규·표식 없음,7127,0.6094,20555.5215,0.69,18152.6376,17605.3358,18584.2144,148808.259,343.0185,channel
한도 증액,3162,0.7334,23605.9207,0.5615,30834.4175,29773.286,31791.2352,276799.5715,503.816,channel
Car,8620,0.5148,14838.6359,0.548,13939.7559,13513.5877,14441.7554,95679.4954,244.5281,goal_group
Caravan / Camper,354,0.5706,18922.5248,0.5171,20881.3896,18780.2813,22802.958,154308.3714,354.4793,goal_group
Existing loan takeover,5159,0.5524,22593.5684,0.6938,17991.0591,17326.5491,18598.226,146611.0183,346.2849,goal_group
Extra spending limit,565,0.5398,15733.9344,0.5731,14820.2992,13012.9406,17148.1019,126140.2896,260.4249,goal_group
Home improvement,7032,0.5897,19038.8715,0.5967,18815.455,18270.8206,19400.2019,156536.2589,333.6695,goal_group
Remaining debt home,770,0.6455,23563.9336,1.0422,14594.2696,13717.051,15472.7303,147222.4012,322.6247,goal_group
기타 소수 용도,635,0.4992,17369.7382,0.5387,16097.2425,14179.6816,18122.1768,121043.0829,281.015,goal_group
용도 불명,5996,0.5407,20487.4209,0.6349,17447.5435,16935.6718,18081.527,144507.3144,330.8291,goal_group
